,sp500,Eurostock,EURUSD,3M_EUR,1Y_EUR,5Y_EUR,10Y_EUR,30Y_EUR,3M_USD,1Y_USD,5Y_USD,10Y_USD,30Y_USD
2014-11-13,0.0005298447465655887,0.003117513814779427,-0.0036793329386390905,0.0022138924137466987,0.005375067405861217,0.010214254881063312,0.011186418444870228,0.0015344892534732146,0.0,0.009999999999999981,-0.010000000000000009,-0.020000000000000018,-0.009999999999999787
2014-11-14,0.00024027020881067784,0.0010435557953727415,0.0037052921757387836,-0.001148962670994999,-0.0024870674561779105,-0.008604933489102962,-0.01024554174286152,0.0014596426960280517,0.0,0.0,-0.019999999999999796,-0.03000000000000025,-0.040000000000000036
2014-11-17,0.0007353590216279127,0.008104617631845779,0.0034050561586789208,0.0032371118713721003,0.007167233540590401,0.006653058351002272,0.007930311245070598,0.001231238282680458,0.009999999999999998,0.0,0.019999999999999796,0.020000000000000018,0.020000000000000018
2014-11-18,0.005133983312177293,0.01155018084256021,-0.005552196695840617,0.001440813199439006,0.0034605139394691953,-0.017886485730290502,-0.022504808838840873,0.004167468790559958,-0.009999999999999998,-0.009999999999999981,-0.010000000000000009,-0.020000000000000018,-0.010000000000000231
2014-11-19,-0.0015011590075549863,0.0008653307503809771,0.006780559198632075,0.0054109430532988945,0.013983398994716012,0.029455678374613825,0.039500330467092226,0.03380126653630189,-0.01,0.009999999999999981,0.030000000000000027,0.040000000000000036,0.03000000000000025
2014-11-20,0.0019670962134916703,-0.006695277627948082,0.0005894184502908129,-0.003593892639100399,-0.008961368096239014,-0.023284871756731107,-0.032602158088810285,-0.024423514887726316,0.01,-0.009999999999999981,-0.020000000000000018,-0.020000000000000018,-0.03000000000000025
2014-11-21,0.0052368773596394025,0.029659504328913622,0.00033868982267026837,-0.0036932850948633994,-0.013438794659300896,-0.040486894177581334,-0.04352413162650315,-0.03507010977192815,-0.01,0.0,-0.010000000000000009,-0.029999999999999805,-0.029999999999999805
2014-11-24,0.0028640233144536786,0.005472378430124936,-0.01355060805265318,-0.002580672387869007,-0.008787174538801096,-0.02437842481264596,-0.022568777936891715,-0.007937752350699157,0.01,0.0,-0.009999999999999787,-0.010000000000000231,-0.010000000000000231
2014-11-25,-0.0011500296768531815,0.004499159757001214,0.004699682966228469,-0.0003682641905386891,-0.00011431265760281084,-0.015023961087209159,-0.027592937102598247,-0.019236958148129535,0.0,0.0,-0.040000000000000036,-0.029999999999999805,-0.03999999999999959
2014-11-26,0.0028059818899186517,-2.164320346653703e-05,0.0038190935501500878,0.0016970434684679958,0.005460541813247816,0.005899860584431593,-0.008954007534736519,-0.0351799612964343,0.0,0.0,-0.020000000000000018,-0.029999999999999805,-0.020000000000000018
2014-11-28,-0.002542427180532325,0.007702801205749177,-0.0014953868043002805,-0.001971568864904197,0.0022710600018474025,-0.02633843189427232,-0.09032594780081027,-0.1039919519175978,0.0,-0.010000000000000009,-0.07000000000000006,-0.06000000000000005,-0.06000000000000005
2014-12-01,-0.006829362527492333,-0.005543035349936276,-0.0019030262076955573,0.0007281715698804897,0.003532191518862887,-0.0007370726534432492,-0.017408345681623416,-0.03019303595798073,0.009999999999999998,0.0,0.030000000000000027,0.040000000000000036,0.06000000000000005
2014-12-02,0.006384461097458161,0.0016827519772506516,0.002556262795929687,-0.00010064343869758963,-0.001625203353429,0.013911020824927789,0.033421701699372974,0.030086464018364456,0.0,0.010000000000000009,0.07000000000000006,0.05999999999999961,0.04999999999999982
2014-12-03,0.0037647427417917267,0.0028934095339649968,-0.00654108242180651,-0.001558379484681599,-0.007172078118753006,-0.011621562573822075,-0.0015761328804746455,-0.0022428247816943525,-0.019999999999999997,0.009999999999999981,0.020000000000000018,0.010000000000000231,-0.009999999999999787
2014-12-04,-0.0011618962070774064,-0.01738757380948064,-0.005801064834015435,0.008002071357092091,0.015460126904828897,0.0022873429370147136,0.010555513201715883,0.000818881156295248,0.01,-0.009999999999999981,-0.020000000000000018,-0.040000000000000036,-0.050000000000000266
2014-12-05,0.0016652165347093018,0.026989387485311322,0.005685377311375195,-0.0015043149715455034,-0.0017021847364162013,-0.008734941457838374,-0.02352615337711228,-0.02151985317750782,0.0,0.03999999999999998,0.09999999999999987,0.06000000000000005,0.03000000000000025
2014-12-08,-0.007256565211683386,-0.008967496484693083,-0.007474771875001451,0.0011266134380450016,0.0021023761335801083,-0.005373402279797546,-0.01672507375716492,-0.03786752746117905,0.009999999999999998,0.0,-0.020000000000000018,-0.050000000000000266,-0.07000000000000028
